time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0:0	0:4	Silence/static sound	 Sound
0:4	0:5	Theme begins	Movements
80	81	Theme ends	Movements
82	83	Variation I. begins	Movements
196	197	Variation I. ends	Movements
198	199	Variation II. begins	Movements
244	245	Variation II. ends	Movements
246	247	Variation III. begins	Movements
320	321	Variation III. ends	Movements
322	323	Variation IV. begins	Movements
345	346	Variation IV. ends	Movements
347	348	Variation V. begins	Movements
460	461	Variation V. ends	Movements
462	463	Variation VI. begins	Movements
536	537	Variation VI. ends	Movements
538	539	Variation VII. begins	Movements
596	597	Variation VII. ends	Movements
598	599	Variation VIII. begins	Movements
712	713	Variation VIII. ends	Movements
714	715	Variation IX. begins	Movements
942	943	Variation IX. ends	Movements
944	945	Variation X. begins	Movements
1097	1098	Variation X. ends	Movements
1099	1100	Variation XI. begins	Movements
1115	1116	Variation XI. ends	Movements
1117	1118	Variation XII. begins	Movements
1297	1298	Variation XII. ends	Movements
1299	1300	Variation XIII. begins	Movements
1462	1463	Variation XIII. ends	Movements
		Variation XIV. begins	Movements
		Variation XIV. ends	Movements
