time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0	3	Silence/static sound	Sound
4	5	Theme begins	Movements
83	84	Theme ends	Movements
85	86	Variation I. begins	Movements
196	197	Variation I. ends	Movements
198	199	Variation II. begins	Movements
246	247	Variation II. ends	Movements
248	249	Variation III. begins	Movements
316	317	Variation III. ends	Movements
318	319	Variation IV. begins	Movements
342	343	Variation IV. ends	Movements
344	345	Variation V. begins	Movements
466	467	Variation V. ends	Movements
468	469	Variation VI. begins	Movements
539	540	Variation VI. ends	Movements
541	542	Variation VII. begins	Movements
596	597	Variation VII. ends	Movements
598	599	Variation VIII. begins	Movements
710	711	Variation VIII. ends	Movements
712	713	Variation IX. begins	Movements
941	942	Variation IX. ends	Movements
943	944	Variation X. begins	Movements
1095	1096	Variation X. ends	Movements
1097	1098	Variation XI. begins	Movements
1149	1150	Variation XI. ends	Movements
1151	1152	Variation XII. begins	Movements
1300	1301	Variation XII. ends	Movements
1302	1303	Variation XIII. begins	Movements
1462	1463	Variation XIII. ends	Movements
