time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0	3	Silence/static sound	Sound
4	5	Theme begins	Movements
76	77	Theme ends	Movements
78	79	Variation I. begins	Movements
192	193	Variation I. ends	Movements
194	195	Variation II. begins	Movements
239	240	Variation II. ends	Movements
241	242	Variation III. begins	Movements
320	321	Variation III. ends	Movements
322	323	Variation IV. begins	Movements
347	348	Variation IV. ends	Movements
349	350	Variation V. begins	Movements
461	462	Variation V. ends	Movements
463	464	Variation VI. begins	Movements
540	541	Variation VI. ends	Movements
542	543	Variation VII. begins	Movements
596	597	Variation VII. ends	Movements
598	599	Variation VIII. begins	Movements
709	710	Variation VIII. ends	Movements
711	712	Variation IX. begins	Movements
939	940	Variation IX. ends	Movements
941	942	Variation X. begins	Movements
1097	1098	Variation X. ends	Movements
1099	1100	Variation XI. begins	Movements
1153	1154	Variation XI. ends	Movements
1155	1156	Variation XII. begins	Movements
1298	1299	Variation XII. ends	Movements
1300	1301	Variation XIII. begins	Movements
1462	1463	Variation XIII. ends	Movements
