time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
4	5	Theme begins	Movements
78	79	Variation I. begins	Movements
194	195	Variation II. begins	Movements
239	240	Variation III. begins	Movements
325	326	Variation IV. begins	Movements
352	353	Variation V. begins	Movements
467	468	Variation VI. begins	Movements
546	547	Variation VII. begins	Movements
597	598	Variation VIII. begins	Movements
711	712	Variation IX. begins	Movements
941	942	Variation X. begins	Movements
1099	1100	Variation XI. begins	Movements
1157	1158	Variation XII. begins	Movements
1300	1301	Variation XIII. begins	Movements
